번호,드립,한줄 해석,출처
1,"삼전불파는 하닉","삼성전자는 안 팔고 하이닉스는 믿는다는 충성 선언 느낌.","https://finance.naver.com/item/board.naver?code=000660"
2,"코스피 7000 눈앞이다","하이닉스 한 종목에 코스피 7000의 운명을 맡기는 초강세 드립.","https://finance.naver.com/item/board.naver?code=000660"
3,"자동 상한가 50방, 목표 1000만원","숫자가 커질수록 근거보다 기세가 앞서는 종토방식 로켓 발사.","https://finance.naver.com/item/board_read.naver?code=000660&nid=418617231&page=1"
4,"약속의 2시가 다가온다","아무 일 없어도 2시만 되면 뭔가 일어날 것 같은 주식판 미신 감성.","https://finance.naver.com/item/board.naver?code=000660"
5,"지금 들어가면 물릴까요?","이미 조회수 폭발. 모두가 같은 질문을 하면서도 결국 각자 누르는 그 버튼.","https://finance.naver.com/item/board.naver?code=000660"
6,"1주는 버티는데, 10주만 되면요","비중이 커지는 순간 멘탈이 종목보다 먼저 변동성 맞는다는 현실 드립.","https://finance.naver.com/item/board.naver?code=000660&page=2"
7,"샀다가 팔았다 해봐야...","단타 치다 보면 계좌보다 수수료와 후회만 자라는 타입.","https://finance.naver.com/item/board_read.naver?code=000660&nid=418614256&page=2"
8,"세계대전이 일어나지 않는 이상","거의 모든 리스크를 한 문장으로 대충 봉합하는 초긍정론.","https://finance.naver.com/item/board.naver?code=000660&page=3"
9,"하이닉스 올라서 너무 배가 아프다 손!","안 산 사람들의 공개 고해성사 스타일.","https://finance.naver.com/item/board.naver?code=000660&page=4"
10,"닉스야 형 밥먹고 왔다","밥 먹고 왔으니 이제 오르라는, 종목을 가족처럼 부르는 종토방식 호출.","https://finance.naver.com/item/board_read.naver?code=000660&nid=418610619&page=4"
